TTD TANK PPT WETWT STDLGTH
97  5 11.6 0.119 1.8
97  5 11.6 0.095 2.2
97  5 11.6 0.152 2.0
97  5 11.6 0.134 2.0
97  5 11.6 0.098 1.8
97  5 11.6 0.330 2.3
97  5 11.6 0.121 2.1
97  5 11.6          
97  5 11.6          
97  5 11.6          
97  5 11.6          
97  5 11.6          
97  5 11.6          
97  5 11.6            
97  5 11.6          
97  6 11.6 0.172 2.3
97  6 11.6 0.386 2.6
97  6 11.6 0.054 1.5
97  6 11.6 0.165 2.1
97  6 11.6 0.818 4.1
97  6 11.6 0.053 1.5
97  6 11.6 0.072 1.8
97  6 11.6 0.091 1.9
97  6 11.6          
97  6 11.6          
97  6 11.6          
97  6 11.6          
97  6 11.6          
97  6 11.6          
97  6 11.6          
97  6 11.6          
97  6 11.6          
97  6 11.6          
97  6 11.6          
97  6 11.6          
97  6 11.6          
97  7 10.8 0.065 1.6
97  7 10.8 0.086 1.7
97  7 10.8 0.119 2.1
97  7 10.8 0.128 1.9
97  7 10.8 0.764 3.8
97  7 10.8 0.134 2.2
97  7 10.8 0.103 1.8
97  7 10.8 0.110 2.2
97  7 10.8 0.191 2.4
97  7 10.8 0.088 1.9
97  7 10.8 0.171 2.3
97  7 10.8 0.092 1.9
97  7 10.8 0.126 2.1
97  7 10.8 0.188 2.3
97  7 10.8 0.089 1.7
97  7 10.8 0.074 1.6
97  7 10.8 0.059 1.4
97  7 10.8 0.086 1.8
97  7 10.8 0.107 1.8
97  7 10.8 0.099 1.6
97  7 10.8 0.191 2.3
97  7 10.8 0.161 2.2
97  7 10.8 0.101 1.9
97  7 10.8 0.061 1.6
97  7 10.8          
97  7 10.8          
97  7 10.8          
97  7 10.8          
97  7 10.8          
97  7 10.8          
97  7 10.8          
97  8 10.8 0.045 1.3
97  8 10.8 0.137 2.3  
97  8 10.8 0.152 2.2
97  8 10.8 0.056 1.5
97  8 10.8 0.211 2.5
97  8 10.8 0.153 2.3
97  8 10.8 0.073 1.9
97  8 10.8 0.205 2.2
97  8 10.8 0.071 1.7
97  8 10.8 0.092 1.8
97  8 10.8 0.377 3.0
97  8 10.8 0.063 1.6
97  8 10.8 0.095 1.8
97  8 10.8 0.089 1.7
97  8 10.8 0.089 1.5
97  8 10.8 0.105 1.9
97  8 10.8 0.097 1.7
97  8 10.8 0.129 1.9
97  8 10.8 0.068 1.6
97  8 10.8 0.084 1.7
97  8 10.8 0.067 1.5
97  8 10.8 0.132 1.8
97  8 10.8 0.091 1.7
97  8 10.8          
97  8 10.8          
97  8 10.8          
97  8 10.8          
97  9 10.3 0.731 3.6
97  9 10.3 0.354 2.9
97  9 10.3 0.104 1.9
97  9 10.3 0.176 2.3
97  9 10.3 0.108 2.1
97  9 10.3 0.904 4.1
97  9 10.3 0.582 3.3
97  9 10.3 0.081 1.7
97  9 10.3 0.998 3.9
97  9 10.3 0.346 2.6
97  9 10.3 0.240 2.3
97  9 10.3 0.887 4.0
97  9 10.3 0.115 1.9
97  9 10.3 0.837 3.6
97  9 10.3 0.091 1.9
97  9 10.3 0.148 2.1
97  9 10.3 0.781 3.6
97  9 10.3 0.123 2.1
97  9 10.3 0.331 2.7
97  9 10.3 0.093 1.8
97  9 10.3 0.082 1.5
97  9 10.3          
97  9 10.3          
97  9 10.3          
97  9 10.3          
97  9 10.3          
97  9 10.3          
97  9 10.3            
97  9 10.3            
97  9 10.3             
97  9 10.3            
97  9 10.3          
97  9 10.3          
97  9 10.3          
97 10 10.3 0.335 3.0
97 10 10.3 0.752 3.8
97 10 10.3 0.137 2.2
97 10 10.3 0.268 2.5
97 10 10.3 0.118 2.0
97 10 10.3 0.094 1.9
97 10 10.3 0.113 2.1
97 10 10.3 0.145 2.3
97 10 10.3 1.489 4.9
97 10 10.3 0.092 1.9
97 10 10.3 0.058 1.7
97 10 10.3 0.066 1.5
97 10 10.3 0.239 2.6
97 10 10.3 0.077 1.7
97 10 10.3 0.064 1.6
97 10 10.3 0.070 1.6
97 10 10.3 0.059 1.4
97 10 10.3 0.093 2.0
97 10 10.3 0.066 1.7
97 10 10.3 0.070 1.6
97 10 10.3 0.076 1.7
97 10 10.3 0.088 1.8
97 10 10.3 0.116 2.0
97 10 10.3          
97 10 10.3          
97 10 10.3          
97 10 10.3          
97 13  0.0 0.127 2.0
97 13  0.0 0.090 1.8
97 13  0.0 0.174 2.1
97 13  0.0 0.071 1.6
97 13  0.0 0.098 2.0
97 13  0.0 0.100 1.7
97 13  0.0 0.068 1.5
97 13  0.0 0.098 1.9
97 13  0.0 0.068 1.5
97 13  0.0 0.075 1.7
97 13  0.0 0.588 3.4
97 13  0.0 0.098 1.7
97 13  0.0 0.129 1.9
97 13  0.0 0.058 1.4
97 13  0.0 0.760 3.7
97 13  0.0 0.126 2.0
97 13  0.0 0.128 2.1
97 13  0.0 0.186 2.3
97 13  0.0 0.049 1.4
97 13  0.0 0.143 2.2
97 13  0.0 0.392 2.6
